首相	prime minister
習慣	habit
週間	week
中傷	slander
抽象	abstract
童謡	nursery rhyme
冒頭	beginning
円滑	smoothly
折衷	eclectic
商店	shop
焦点	focus
丘陵	hills
給料	salary
経緯	background
敬意	respect
富豪	millionaire
符号	sign
起床	getting up
気象	weather
特派員	correspondent
報道	report
使命感	sense of mission
演奏	playing
朗読	recitation
試み	trial
狂って	crazy
慢性	Chronic
睡眠	sleep
過疎化	Depopulation
悪循環	vicious circle
脱する	escape
切実な	compelling
合併	merger
強硬に	forcefully
候補者	candidate
天候	weather
遺跡	Remains
発掘	Excavation
従来	Conventional
認識	recognition
把握	grasp
柔軟	flexible
崇拝	worship
変遷	change
容易な	easy
衰え	decline
脅かされ	threatened
怪獣	monster
襲う	attack
架空	fictitious
尽くして	exhaustively
自己	self
挑む	challenge
意義	significance
寮	dormitory
廊下	hall
踏み場	Stepping place
火災	fire
背景	background
拝啓	Greetings
行為	action
好意	Good feeling
街頭	Street
該当	Applicable
降伏	Surrender
幸福	happiness
動揺	upset
同様	similar
企業	enterprise
既婚者	Married
赴任	Assignment
拒否	rejection
欠陥	defect
厳しい	Strict
措置	Measure
丘	hill
別荘	Villa
海峡	strait
眺める	look at
介護	nursing
施設	institution
奉仕	service
奨励	Encouragement
要請	request
養成	training
政策	policy
製作	Production
福祉	welfare
脚本	screenplay
執筆	writing
輝く	shining
斜面	slope
反射	reflection
棄権	abstention
危険	dangerous
感染	infection
幹線	main line
捜索	search
創作	Creation
交渉	negotiation
高尚	lofty
均衡	equilibrium
近郊	Suburbs
要求	request
方向	direction
政府	government
教育	education
近代	modern times
国家	nation
発展	development
内部	internal
現体制	Current system
興奮	excitement
潮	tide
崩れ	collapse
死傷者	casualties
大惨事	catastrophe
役職	Position
辞め	quit
隠居	retirement
渋滞	Traffic jam
改善	improvement
取り締まり	control
確保	Securing
図る	Plan
看護婦	nurse
浜辺	beach
人影	figure
沖	Offshore
漁船	fishing boat
淡い	pale
配置	Arrangement
心配	anxiety
理想	ideal
調理士	chef
促進	promotion
催促	Prompt
街頭	Street
口頭	oral
制服	uniform
統制	control
転勤	transfer
勤勉	diligence
指摘	indicate
資料	Document
提供	offer
助言	advice
惜しまれる	be missed
離れる	Leave
企画	plan
宙	the air
状態	situation
現れる	appear
固く	firmly
結束	unity
権力者	Authority
独裁	dictatorship
阻止	blocking
理想	ideal
調理師	Cooks
順序	order
不順	Irregularity
興奮	excitement
振興	Promotion
収入	income
吸収	absorption
展示	exhibition
強盗	robbery
候補者	candidate
気候	climate
批評	criticism
評判	reputation
細胞	cell
登録	register
関与	involvement
与党	ruling party
冷房	cooling
文房具屋	stationery shop
楽器	instrument
器用	Dexterity
視察	inspection
診察	consultation
応接室	reception room
応援	support
乾燥	drying
乾電池	dry battery
簡潔	brevity
述べる	state
箇条書き	bullet points
待遇	treatment
特集	special feature
組んだ	crossed
遭難	Distress
極限	limit
納める	Pay
依頼	request
膨大な	Enormous
断られた	refused
衝突	collision
寿命	lifespan
縮まる	Shrink
感謝	Gratitude
謝絶	Refusal
背景	background
背後	Behind
了承	understand
承認	approval
忠告	advice
威張る	Boast
憤慨	resentment
境遇	circumstances
国境	border
中傷	slander
負傷	injury
抗議	protest
反抗	rebellion
偏見	prejudice
会見	press conference
緊張	tension
誇張	exaggeration
矛盾	Contradiction
指摘	indicate
焦った	rushed
名簿	roster
記載	description
取り扱い	handling
紙幣	bill
繊維	fiber
摩擦	friction
探検	expedition
耐える	endure
幼稚園	kindergarten
芽	bud
無邪気	innocent
派遣	dispatch
慣例	convention
習慣	habit
順調	going well
順番	order
模索	Groping
索引	index
浪費	waste
費用	cost
妥協	compromise
協定	Agreement
運営	operation
営業	Sales
違反	violation
非難	condemnation
事情	circumstances
正当	legitimate
認められる	Is recognized
大規模	Large scale
災害	disaster
即座	immediately
態勢	Posture
検討	examination
発展	development
異議	objection
異常	anomaly
署名	signature
活躍	action
尽きる	run out
創作	Creation
起源	origin
進化	evolution
貴重な	precious
証拠	evidence
不動産	real estate
投資	investment
危ぶむ	be in danger
掲載	publish
功績	achievement
謙虚	humble
控え目	conservative
真相	truth
真剣	seriously
解説	Commentary
解散	dissolution
購入	purchase
購読	Subscribe
強引	forcible
強盗	robbery
領収書	receipt
大統領	president
発揮	Exhibit
価格	price
維持	maintain
契約	Agreement
結ぶ	tie
必死	Desperate
返済	pay back debt
軌道	trajectory
誤解	misunderstanding
無礼	rude
言動	word and action
慎む	refrain from
強引	forcible
忠実	Faithful
恩恵	benefit
御恩	kindness
抵抗	resistance
暴れる	rampage
勇敢な	Brave
誇り	pride
障害	hindrance
克服	overcome
貢献	contribution
励まされた	encouraged
顧みる	look back
築く	build
痛感	painful feeling
儀式	ceremony
鮮やかな	Brilliant
衣装	costume
砂漠	desert
確信	conviction
確認	confirmation
引力	attraction
索引	index
所有	possession
有益	beneficial
蒸発	evaporation
蒸留	distillation
精密	precision
精算	calculate
雰囲気	atmosphere
華やか	Gorgeous
人柄	personality
魅力	charm
還暦	60th birthday
隠居	retirement
田舎	country
質素	frugal
猛烈	fierce
煩わしい	troublesome
裸	naked
自慢	bragging
僕	I
待遇	treatment
翼	wings
手当	allowance
巣	nest
樹立	establishment
樹木	trees
視野	field of view
無視	ignore
統率	leadership
統計	statistics
救援	relief
応援	support
秩序	order
順序	order
偽造	forgery
特殊	Special
拘束	Restraint
正規	regular
紛争	dispute
収穫	harvest
肥料	fertilizer
濫用	abuse
昆虫	insect
歓声	Cheers
山岳	mountains
隔てて	apart
一致	match
必要	requirement
期限	Deadline
災害	disaster
列島	archipelago
記録	record
長雨	long rain
不正	Injustice
異文化	Different culture
認識	recognition
研究者	researcher
森林	forest
禁止	Ban
末期的	terminal
洪水	flood
不通	Suspension
復旧	restoration
国際交流	International exchange
寄与	contribution
気味	feeling
発足	Inauguration
過労気味	overworked
満場一致	unanimous
大気汚染	Air pollution
規制	regulation
排気	exhaust
悪化	aggravation
不信感	Sense of distrust
必要	requirement
貨幣	money
経済的	Economic
取引	transaction
信用	credit
重大	Serious
最近	Recently
心臓	heart
臓器	organs
移植	transplant
話題	topic
進歩	progress
気候	climate
工場	plant
用地	site
発見	discover
会議	meeting
演奏	playing
巻き込む	involve
地震	earthquake
高層	high rise
一部	part
数十名	dozens of people
注目	attention
現在	Current
警察	police
大都市	big city
駐車違反	parking violation
強化	strengthen
都心	city center
駐車場	parking
自然	Nature
災害	disaster
被害	damage
生じる	occur
医師	doctor
組織	organization
総会	general meeting
火災	fire
計画	plan
製品	product
血液	blood
丁寧	polite
有効	Effectiveness
毎晩	every night
理想	ideal
交流	Alternating current
委員会	Committee
伝染病	epidemic
明確	Clear
両者	both
姿勢	posture
裁判	trial
機械	machine
国民	the people
生活	life
意識	consciousness
半ば	middle
高原	Plateau
多額	large amount
無駄	Useless
顕微鏡	microscope
勢力	power
操業	operation
停止	Stop
青年	youth
免許	driver licence
輸出	export
絶える	die out
選挙	selection
技術	technology
開発	development
歴史	history
不景気	recession
続出	one after another
裁判官	judge
判断	judgment
本社	main office
支店	branch
研究室	laboratory
驚く	surprised
加減	addition and subtraction
都合	circumstances
予知	foreknowledge
予言	prophecy
推進	Promotion
処置	treatment
救援	relief
休暇	holiday
腰	waist
田園	countryside
風景	scenery
事故	accident
増加	gain
対策	measures
趣味	hobby
実益	profit
採用	adoption
長年	many years
支配	control
体制	System
政治	politics
男女	man and woman
条件	conditions
製品	product
輸入	import
規制	regulation
責任	responsibility
小説家	Novelist
活動	activity
遠ざかる	go away
存続	survival
記事	article
雑誌	magazine
異議	objection
異常	anomaly
回収	collect
分析	analysis
威力	power
製品	product
努力	effort
借金	debt
経営	management
頼む	ask
水素	hydrogen
酸素	oxygen
数学	Math
温暖	warm
駐車禁止	No Parking
委員長	Chairman
選ぶ	Choose
顕微鏡	microscope
観察	observation
指輪	ring
小説	novel
探検隊	expedition
目的地	Destination
必要	requirement
犯人	culprit
試験	test
事件	incident
選挙	selection
勝利	victory
議論	discussion
司会者	chairperson
結論	Conclusion
住宅地	Residential areas
詩	poetry
高齢化	Aging
伴う	Accompany
停滞	stagnation
副社長	vice president
弾ける	burst
大臣	Minister
災害	disaster
現場	site
留守番	Caretaker
狭い	narrow
表現	Expression
差別的	Discriminatory
放送局	Broadcaster
博士	Doctor
常識	common sense
秘密	secret
有利な	Advantageous
証言	testimony
お年寄り	Elderly
介護	nursing
事件	incident
解決	Resolution
紛争	dispute
突然	suddenly
湯気	steam
能率	efficiency
素晴らしい	Amazing
立て直し	restructuring
展望	Outlook
背景	background
警察	police
人柄	personality
極端	extreme
鋭い	sharp
痛み	pain
古代人	ancient people
改め	revised
組織	organization
全体	whole
問題	problem
部下	Subordinate
言葉	words
資料	Document
小説家	Novelist
視力	eyesight
完成	Complete
長年	many years
妻	wife
人気	popular
昔	long ago
港町	port town
機械	machine
払う	pay
自分	myself
考え	idea
企業	enterprise
労働者	Worker
雑誌	magazine
防ぐ	prevent
状況	situation
行動	action
僧	monk
優秀	excellence
健康	health
規制	regulation
犯人	culprit
伝記	biography
非常	very
家庭	home
発掘	Excavation
優勝	win
物体	object
互い	each other
経済	Economy
条約	Treaty
宣伝	propaganda
輸出	export
校庭	schoolyard
災害	disaster
有力者	influential person
援助	assistance
辞書	dictionary
権威	authority
店員	Clerk
募集	Recruitment
瞬間	moment
同感	sympathy
洪水	flood
視野	field of view
信念	belief
困る	in trouble
選ぶ	Choose
資格	Qualification
程度	degree
高速道路	highway
制限速度	Speed ​​Limit
違反	violation
並ぶ	line up
順番	order
文句	Complaint
悩む	to worry
定年	retirement age
夫婦	couple
観光事業	Tourism business
名物	specialty
自慢	bragging
夢	dreams
温めて	warm up
投書	letter
解説者	Commentator
趣味	hobby
趣旨	Effect
賛成	Agree
寄付	donation
報告	report
喜んで	gladly
職業	Profession
銀行員	banker
途中	in the middle
困る	in trouble
機会	chance
植物	plant
細胞	cell
物価	cost of living
胃	stomach
経済学	Economics
入門	getting started
薬品	chemicals
金庫	safe
野生	wild
動物	animal
お年寄り	Elderly
商売	business
地中	underground
微量	Very small amount
検出	detection
被害	damage
交通事故	traffic accident
昆虫	insect
選挙	selection
将来	future
有効	Effectiveness
有利	advantageous
有益	beneficial
有望	promising
帰国	returning home
反応	reaction
応用	application
適応	adaptation
応答	response
縮小	Shrink
短縮	shortening
軽減	mitigation
減量	weight loss
詳細	detail
参照	reference
参考	reference
解説	Commentary
解釈	interpretation
進路	course
焦点	focus
開発	development
波	wave
山村	mountain village
画期的	breakthrough
周期的	Periodic
定期的	Regularly
明朗	Cheerful
明白	Obvious
背景	background
景色	view
景気	economy
光景	spectacle
気配	sign
配慮	consideration
配置	Arrangement
分配	distribution
胸一杯	full of heart
一言	One word
勇気	courage
深刻	serious
間接的	Indirect
平均的	Average
楽観的	Optimistic
伝統的	Traditional
不況	recession
技術的	technical
治療	treatment
効果	effect
良好	Good
良質	good quality
良識	decency
流通	distribution
複雑	complicated
救助	rescue
応急	emergency
合間	interval
手間	time
空間	space
仲間	fellow
荷物	load
精神的	Mental
首相	prime minister
軽率	thoughtlessness
発言	comment
良好	Good
専門家	Expert
非常	very
切実	desperate
敏感	sensitive
迅速	fast
頻繁	frequent
対面	in person
対比	contrast
対処	handle
対等	equal status
以前	Before
優美	elegance
科学	science
一種	kind of
賃金	wage
全般的	Universal
消防車	fire engine
製品	product
規制	regulation
研究	the study
無事	safe
予算	budget
高山植物	alpine plant
知識	knowledge
通知	notification
経済的	Economic
非難	condemnation
無難	safe
避難	evacuation
苦難	hardship
領土	territory
領事	consul
領域	region
領地	territory
期限	Deadline
迷惑	bothersome
感情的	Emotional
博士論文	Dissertation
鼻	nose
資金	funds
利益	profit
運搬	transportation
一挙	all at once
一気	all at once
一斉	All at once
基準	standard
経緯	background
細胞	cell
帽子	hat
水面	water surface
区別	Distinction
年齢	age
周囲	surroundings
安易	Easy
検討	examination
議会	parliament
劇団	theater company
複雑	complicated
頼む	ask
水素	hydrogen
酸素	oxygen
数学	Math
地震	earthquake
活動	activity
賞賛	praise
夫婦	couple
留学	study abroad
現地	local
福祉	welfare
予算	budget
規模	scale
責任	responsibility
整える	arrange
会議	meeting
税務署	tax office
所得	income
任命権	right to appoint
大臣	Minister
聴講	attendance
必要	requirement
指導	Guidance
選手	player
激しい	intense
非行	delinquency
規制	regulation
誤解	misunderstanding
警戒	vigilance
素材	material
価値	worth
標識	sign
騒ぎ	commotion
雪山	snow mountain
状態	situation
経験	experience
税金	tax
借金	debt
両親	parents
面会	meeting
主人公	main character
性格	personality
絵	picture
机	desk
声	voice
違う	Wrong
資金援助	financial assistance
不安	anxiety
事件	incident
過半数	majority
得た	Obtained
素直	honest
突然	suddenly
料理	cooking
自然	Nature
聞き取り	hearing
地方	region
位置	position
多少	somewhat
困難	difficulty
状況	situation
優勝戦	championship game
意外	Unexpected
勝負	game
都市	City
周辺	neighborhood
状態	situation
病気	illness
悪化	aggravation
再開発	redevelopment
順調	going well
完了	completion
正確	correct
賛成	Agree
援助	assistance
階段	stairs
設計	design
不況	recession
経営	management
根拠	basis
主張	claim
難しい	difficult
頼り	reliance
活躍	action
祝日	holiday
場合	case
診て	Examine
心地	feeling
選挙	selection
投票	vote
権利	right
義務	duty
条件	conditions
実行	execution
直前	just before
重大	Serious
地面	Ground
掘る	dig
宝物	treasure
隠す	hide
家計	household budget
苦労	hard work
対戦相手	Opponent
風俗	manners and customs
触れる	touch
値段	price
祖父	grandfather
先祖代々	for generations
学費	Tuition
看病	Nursing
疲労	fatigue
得点	score
開会式	Opening ceremony
態度	attitude
医者	doctor
検査結果	Inspection results
連絡	contact
居眠り	dozing off
終点	the last stop
見舞い	visit
最後	last
全力	full power
記録	record
非常	very
危ない	Dangerous
許されない	Unacceptable
募金	fund-raising
旗	flag
悲しい	sad
祖父	grandfather
迎えて	Welcome
暮らす	live
始める	start
暑さ	Heat
飛び込む	jump in
兄	Brother
優勝	win
満足	satisfaction
接している	in contact with
収穫	harvest
機械化	mechanization
豊かな	Rich
生活	life
犯人	culprit
他人	others
切符	ticket
交通事故	traffic accident
病院	hospital
運んだ	Transported
借りた	Borrowed
自転車	bicycle
壊して	Break
政府	government
行った	gone
親	parent
免許証	License
最近	Recently
女性	Woman
大臣	Minister
得た	Obtained
政府	government
発表	publication
充実	fullness
人権	human rights
花壇	flower bed
記事	article
